Year,Quarter,GDP_Growth,Inflation,Industrial_Production,Job_Market,Recession_Indicator
2016,Q1,3.8662017263383417,5.795522057052104,4.063914823621593,72806,0
2013,Q1,6.624839469416082,4.008880277205926,0.30115565035315317,51465,0
2022,Q4,3.4696265973455844,6.322667737654358,-3.6223707060148036,64109,0
2020,Q3,3.907551523296371,1.4159621385578873,-1.3094384065819598,53528,1
2017,Q4,1.5867887368968492,1.885588597681735,2.2209744626788073,39230,0
2022,Q4,2.5823101966616004,6.216510704524971,-3.258158119319833,51242,0
2014,Q4,6.054117575075873,11.4366678290865,0.9023119740635881,68883,0
2016,Q4,4.331631113151664,13.504683593617363,1.9527413294441684,4783,0
2019,Q2,7.743026829445951,9.972269860744063,-1.5614642445742066,31390,0
2012,Q3,8.525849549383427,1.578293328572546,1.9388068870832234,11417,0
2016,Q2,5.416464182167599,10.080296432708026,3.842073518293187,75102,0
2020,Q3,7.582672920560592,9.53141881054458,-0.27883255766759074,20426,1
2020,Q1,3.0690451319457,12.086458774399969,-1.1709067182021435,33750,0
2017,Q4,4.149712154000782,12.378729999782713,-2.488415986417143,61188,0
2014,Q2,7.12777676216831,13.023046136684684,1.0420547986330417,13872,0
2013,Q3,3.8621199281703067,6.211972718686475,3.7985204803871593,51086,0
2017,Q1,5.885049351589888,10.467965930282164,-1.7533873281480594,69770,0
2017,Q1,1.8537277908251149,4.023755383834661,-1.0376447546269651,86514,0
2012,Q4,5.99771314970498,14.990044199752564,-0.9337448245001614,37720,0
2015,Q3,8.615137072268936,2.630013620652899,0.6081234177751718,21079,0
2014,Q2,8.686396398234256,0.15171647491253715,-2.715910384325614,20338,0
2011,Q4,7.243444063295397,2.23213071777264,3.222111553077042,6291,0
2017,Q2,7.457533790761261,11.6380843431619,-2.043977224957787,77084,0
2021,Q1,5.579274451507007,6.701755147623173,2.0536269089668195,52393,1
2015,Q2,5.846680901658248,6.712503717156425,0.13215741779552026,72770,0
2011,Q2,1.33650581410518,14.325343794175028,0.8589760335275685,29720,0
2021,Q4,4.438591884213011,13.794523620421113,-3.203912611726971,16368,1
2014,Q2,4.507762838863638,4.667921067060138,2.3502319817817057,57313,0
2010,Q4,9.584978356677402,3.1358719317129924,-3.113794809573689,50969,0
2021,Q1,4.310868626232894,12.727233149006095,-3.8652636237256086,51838,1
2019,Q4,5.493426449027576,13.590286065665447,0.46679499888786946,11734,0
2015,Q4,5.332513992791025,8.123953841977304,2.0929713691766523,15197,0
2022,Q3,6.367617170443271,9.441355666756508,-4.4996416356524325,71895,0
2021,Q2,7.482328313318959,3.8537142703844007,-4.306046850594579,59831,1
2018,Q1,2.2504187617087212,12.012040319677869,3.0267916270591897,61073,0
2010,Q4,5.287244190984357,9.481836426735347,3.0903269950733208,75925,0
2020,Q1,8.259177073160304,7.552702669469949,-2.546952829409188,83488,0
2020,Q3,4.631147138375114,0.9016283411759374,1.152282028002035,87475,1
2019,Q2,2.78457546373573,13.739024437667306,-0.5681992485534053,53302,0
2021,Q4,6.5470907535629905,9.23177130576609,1.3269604140351294,18624,1
2021,Q2,8.23767395799123,2.8903664203945194,3.6287928409922507,70271,1
2012,Q3,0.6314029292739132,9.095791754745791,-4.201435754177435,27315,0
2021,Q3,7.767904834072271,10.1619503135996,2.779844259884543,20422,1
2016,Q1,8.216479329617712,7.886555050248382,-0.06970895478960681,42137,0
2013,Q4,4.615229275886068,10.771526069340338,0.6412694376199646,75663,0
2018,Q1,9.833056568184674,8.721809218929364,1.5393136001712024,51232,0
2012,Q3,7.867083407073091,14.216543730482224,4.226231491291074,81142,0
2014,Q2,7.736625648956657,0.8054561789896025,-4.4328004644826215,35743,0
2012,Q1,7.478385744120718,1.5936856270434074,-4.705236478755523,18636,0
2016,Q1,1.50608103218274,2.605074554315098,-3.2173821851122653,13108,0
2014,Q2,2.172308864530108,10.352566059064982,4.864477260267364,76634,0
2018,Q1,4.63990131464425,9.68393809124713,2.1507636737777567,39180,0
2016,Q2,2.6400434995946584,13.38088290314541,1.1464111905450194,21883,0
2011,Q4,4.152409723340405,10.993161793258476,-4.529609465852521,47400,0
2013,Q2,8.884641099229206,7.625332313468884,3.791102238929648,48999,0
2018,Q4,8.243268918792692,14.877476886954454,3.127568532971596,50951,0
2021,Q2,6.300398784799822,3.9916193425394875,1.6480004386708487,10160,1
2011,Q3,8.581203942511035,12.49787489678181,-1.6086918451529728,58262,0
2019,Q3,7.837723890172493,6.40185558290879,-4.294950444317427,22929,0
2018,Q4,4.289849318408905,9.731027083136013,0.8003848790092247,86133,0
2019,Q4,2.0106515204994513,10.90902705678651,2.1969457146083746,14123,0
2014,Q3,5.142010400093392,9.506311307855045,-4.057596495227526,31357,0
2011,Q4,7.362288825285502,2.107609546628899,1.3376765979849594,73496,0
2013,Q2,4.36419598729593,6.644265161218991,-2.136339321128414,36556,0
2021,Q2,6.667719097838972,8.421575668996866,2.6424422121981177,86791,1
2021,Q3,0.9432742629104363,12.73565638767895,0.3961585060183701,64934,1
2016,Q1,7.480047363714034,6.654686231978585,-3.709632121895633,81886,0
2021,Q2,8.12713619893062,13.781209572063773,0.26519447733235957,33881,1
2022,Q4,7.068378557805412,6.60561334537816,-1.0426313663328135,21409,0
2017,Q1,9.672635875263655,8.231697888945174,-3.196440317183481,58416,0
2012,Q1,8.266520574606403,11.944285244142016,3.415157240621232,70982,0
2010,Q2,9.030937278765382,8.746015266332154,-4.889715515008638,33657,0
2013,Q2,9.335710834576481,14.40327108574237,-1.8787172312189404,89743,0
2011,Q1,8.013479918738085,9.905037457711913,-4.874049618305732,51951,0
2017,Q1,6.742588420064991,7.840641811014016,-4.039930534938473,11752,0
2013,Q3,0.05718581360789288,0.35387951671193796,-2.0290378082691896,16440,0
2011,Q4,4.6582575322312465,6.205993463704948,-4.457288146106264,47864,0
2015,Q3,5.71162298622361,4.488726288902407,0.9663053235714116,52691,0
2015,Q2,3.0403027244799965,11.221585018312338,-4.131370920138172,75035,0
2019,Q3,3.1810444690347204,3.1241651273031867,2.0171363406609526,89675,0
2013,Q3,9.611594157101651,3.0783013094110774,-4.473578873728389,83303,0
2015,Q3,8.917108652027459,2.8427856485606515,-4.406911051989032,25343,0
2022,Q3,8.491790055017042,1.884234197343539,-1.9467410096673365,22673,0
2011,Q4,4.060118017061106,4.665105055063311,3.9657152496927743,62954,0
2019,Q4,0.13698550408914545,13.288831716651377,1.413932487233165,57698,0
2021,Q1,0.8022224645571407,11.623927084589324,2.701312919289194,29520,1
2011,Q2,3.1219636821760366,11.028768244601903,-3.5844789052289396,18784,0
2019,Q3,0.15742912995676983,11.96005208474944,3.3412543324724595,41079,0
2013,Q1,0.17149781915198115,4.041268339943575,-4.918537518057649,47220,0
2017,Q1,9.16603301642411,13.311625361287318,-2.8694264926699384,23491,0
2016,Q1,7.061585021190541,2.0595506271240662,1.1609232114999344,51720,0
2021,Q4,3.0895599006815266,5.045185900733729,-1.2475359140594966,17718,1
